DataYear|RouteID|BMP|EMP|Section_Length|SampleId|StateID
2025|5130015000000|6.3|8.48|2.1800000000000006|510150000630|54
2025|5040060070000|0.24|0.87|0.63|500600700024|54
2025|5040060070000|0.87|1.44|0.57|500600700087|54
2025|4130054000000|2.48|4.86|2.3800000000000003|410540000248|54
2025|4130054000000|4.86|5.72|0.8599999999999994|410540000486|54
2025|4130054000000|6.35|6.54|0.1900000000000004|410540000635|54
2025|4130054000000|6.54|7.1|0.5599999999999996|410540000654|54
2025|4130054000000|7.1|7.41|0.3100000000000005|410540000710|54
2025|4130054000000|7.98|8.821|0.8409999999999993|410540007980|54
2025|4130054000000|10.316|10.33|0.013999999999999346|410540010316|54
2025|2830104000000|1.65|2.65|1.0|281040000165|54
2025|28200520000EB|6.96|7.76|0.7999999999999998|280520006960|54
2025|28200520000EB|10.78|11.03|0.25|280520010780|54
2025|28200520000EB|12.01|12.97|0.9600000000000009|280520012010|54
2025|28200520000EB|12.97|13.39|0.41999999999999993|280052001297|54
2025|28200520000EB|13.44|13.67|0.23000000000000043|280052001344|54
2025|28200520000EB|14.91|15.37|0.4599999999999991|280520001491|54
2025|21200330000EB|16.0|16.23|0.23000000000000043|210330001600|54
2025|21200330000EB|17.59|17.967|0.3769999999999989|210330001759|54
2025|21200330000EB|19.84|20.19|0.3500000000000014|210330001984|54
2025|21200330000EB|20.19|21.03|0.8399999999999999|210330002019|54
2025|21200330000EB|21.25|22.25|1.0|210330002125|54
2025|21200330000EB|22.25|22.84|0.5899999999999999|210330002225|54
2025|41100770016NB|35.21|35.75|0.5399999999999991|410077003521|54
2025|41100770016NB|35.75|37.82|2.0700000000000003|410770003575|54
2025|41100770016NB|41.68|42.31|0.6300000000000026|410770004168|54
2025|41100770016NB|42.31|43.13|0.8200000000000003|410770004231|54
2025|41100770016NB|43.13|44.54|1.4099999999999966|410770004313|54
2025|41100770016NB|44.54|44.7|0.1600000000000037|41077TL44540|54
2025|41100770016NB|48.05|48.34|0.29000000000000625|410770004805|54
2025|0640039000000|2.08|2.62|0.54|060390000208|54
2025|35104700000EB|0.0|0.98|0.98|354700000000|54
2025|35104700000EB|3.671|3.94|0.26900000000000013|354700003671|54
2025|2540250320000|2.05|2.49|0.4400000000000004|252503200205|54
2025|52300070007WB|0.0|0.23|0.23|52007W000000|54
2025|52300070007WB|0.23|0.33|0.1|52007W000023|54
2025|4140004030000|0.0|0.47|0.47|410040300000|54
2025|1730020002300|0.0|0.13|0.13|17020C000000|54
2025|42200330000EB|7.76|8.05|0.2900000000000009|420330000776|54
2025|42200330000EB|9.5|9.74|0.2400000000000002|420330000950|54
