,RouteId,BeginPoint,EndPoint,CountyIdVn,FacilityTypeVn,FsystemVn,NhsVn,UrbanIdVn
0,30200520000WB,21.2214,21.44,,6,3,1.0,99999
1,30200520000WB,18.1,18.2,,6,3,1.0,99999
2,30200520000WB,18.5,18.6,,6,3,1.0,99999
3,30200520000WB,19.8,19.9,,6,3,1.0,99999
4,30200520000WB,21.09,21.206,,6,3,1.0,99999
5,30200520000WB,20.59,20.681,,6,3,1.0,99999
6,30200520000WB,21.4448,21.6198,,6,3,1.0,99999
7,30200520000WB,17.7,17.8,,6,3,1.0,99999
8,30200520000WB,17.8,17.9,,6,3,1.0,99999
9,30200520000WB,17.9,18.0,,6,3,1.0,99999
10,30200520000WB,18.0,18.1,,6,3,1.0,99999
11,30200520000WB,18.6,18.7,,6,3,1.0,99999
12,30200520000WB,18.8,18.88,,6,3,1.0,99999
13,30200520000WB,18.9,19.0,,6,3,1.0,99999
14,30200520000WB,19.0,19.1,,6,3,1.0,99999
15,30200520000WB,19.42,19.5,,6,3,1.0,99999
16,30200520000WB,19.5,19.6,,6,3,1.0,99999
17,30200520000WB,19.6,19.7,,6,3,1.0,99999
18,30200520000WB,19.7,19.8,,6,3,1.0,99999
19,30200520000WB,19.9,20.0,,6,3,1.0,99999
20,30200520000WB,20.0,20.06,,6,3,1.0,99999
21,30200520000WB,20.1,20.2,,6,3,1.0,99999
22,30200520000WB,18.2,18.3,,6,3,1.0,99999
23,30200520000WB,18.3,18.4,,6,3,1.0,99999
24,30200520000WB,19.1,19.2,,6,3,1.0,99999
25,30200520000WB,19.204,19.3,,6,3,1.0,99999
26,30200520000WB,21.01,21.09,,6,3,1.0,99999
27,30200520000WB,20.86,20.919,,6,3,1.0,99999
28,30200520000WB,20.9394,21.01,,6,3,1.0,99999
29,30200520000WB,21.669,21.7358,,6,3,1.0,99999
30,30200520000WB,20.756,20.8,,6,3,1.0,99999
31,30200520000WB,20.8018,20.86,,6,3,1.0,99999
32,30200520000WB,20.681,20.754,,6,3,1.0,99999
33,30200520000WB,18.44,18.5,,6,3,1.0,99999
34,30200520000WB,18.7,18.8,,6,3,1.0,99999
35,30200520000WB,20.06,20.1,,6,3,1.0,99999
36,30200520000WB,20.2,20.28,,6,3,1.0,99999
37,30200520000WB,19.3,19.34,,6,3,1.0,99999
38,30200520000WB,19.34,19.4,,6,3,1.0,99999
39,30200520000WB,20.28,20.3,,6,3,1.0,99999
40,30201190000SB,0.0,0.052,,6,3,1.0,99999
41,30200520000WB,20.919,20.9394,,6,3,1.0,99999
42,30200520000WB,21.6198,21.669,,6,3,1.0,99999
43,30200520000WB,18.4,18.44,,6,3,1.0,99999
44,30200520000WB,19.4,19.42,,6,3,1.0,99999
45,30200520000WB,20.3,20.31,,6,3,1.0,99999
46,30200520000WB,21.206,21.2214,,6,3,1.0,99999
47,30200520000WB,18.88,18.9,,6,3,1.0,99999
48,30201190000SB,0.052,0.07,,6,3,1.0,99999
49,30200520000WB,19.2,19.204,,6,3,1.0,99999
50,30200520000WB,21.44,21.4448,,6,3,1.0,99999
51,30200520000WB,20.8,20.8018,,6,3,1.0,99999
52,30200520000WB,20.754,20.756,,6,3,1.0,99999
53,30200520000WB,10.3751,12.37,,6,3,1.0,99999
54,30200520000WB,7.9253,8.5089,,6,3,1.0,99999
55,30200520000WB,8.9432,9.5497,,6,3,1.0,99999
56,30200520000WB,9.5946,9.94,,6,3,1.0,99999
57,30200520000WB,8.5644,8.9432,,6,3,1.0,99999
58,30200520000WB,12.37,12.6653,,6,3,1.0,99999
59,30200520000WB,9.94,10.3751,,6,3,1.0,99999
60,30200520000WB,12.9,13.0,,6,3,1.0,99999
61,30200520000WB,14.9,15.0,,6,3,1.0,99999
62,30200520000WB,15.3,15.3904,,6,3,1.0,99999
63,30201190000SB,10.2,10.3,,6,3,1.0,99999
64,30201190000SB,8.2,8.3,,6,3,1.0,99999
65,30201190000SB,8.6,8.7,,6,3,1.0,99999
66,30201190000SB,9.0,9.1,,6,3,1.0,99999
67,30201190000SB,9.3,9.4,,6,3,1.0,99999
68,30201190000SB,9.6,9.7,,6,3,1.0,99999
69,30200520000WB,12.7009,12.8003,,6,3,1.0,99999
70,30200520000WB,12.8003,12.8615,,6,3,1.0,99999
71,30200520000WB,7.68,7.8053,,6,3,1.0,99999
72,30200520000WB,9.5497,9.5946,,6,3,1.0,99999
73,30200520000WB,15.95,16.0,,6,3,1.0,99999
74,30201190000SB,8.7,8.7813,,6,3,1.0,99999
75,30201190000SB,9.9,9.97,,6,3,1.0,99999
76,30200520000WB,13.1,13.2,,6,3,1.0,99999
