RouteID,BMP,EMP,29_HPMS_SAMPLE_NO,29_HPMS_SAMPLE_NO_april11
2870515001900,0,0.95,280051500000,280051500000
0540507000000,0,0.25,055070000000,055070000000
0540507000000,0.25,0.34,055070000025,055070000025
0540507000000,0.62,1.2,055070000062,055070000062
13100640000EB,147.6,147.93,130640014760,130640014760
13100640000EB,147.93,149.84,130640014793,130640014793
13100640000EB,149.84,156.18,130640014984,130640014984
13100640000EB,156.18,161.46,130640015618,130640015618
13100640000EB,161.46,165.95,130640016146,130640016146
13100640000EB,165.95,168.89,130640016595,130640016595
13100640000EB,168.96,170.09,130640016896,130640016896
13100640000EB,170.09,170.23,130640017009,130640017009
13100640000EB,172.62,174.1,130640017262,130640017262
13100640000EB,174.1,175.31,130640017410,130640017410
13100640000EB,175.31,176.16,130640017531,130640017531
13100640000EB,176.16,178.43,130640017616,130640017616
13100640000EB,178.43,181.12,130640017843,130640017843
13100640000EB,181.12,182.02,130640018112,130640018112
13100640000EB,182.02,184.02,130640018202,130640018202
4140008030000,0,0.65,410080300000,410080300000
2675256001900,0.42,0.59,260525600042,260525600042
4140006030000,0.53,1.48,410060300050,410060300050
2040016000000,4.25,5.42,200160000425,200160000425
3940003000000,4.6,7.27,390030000460,390030000460
2040008000000,0.86,1.17,204000800000,204000800000
2040008000000,2.72,3.24,200080000272,200080000272
04100790000NB,44.6,46.22,040790004460,040790004460
04100790000NB,46.22,49.73,040790004622,040790004622
04100790000NB,49.73,50.35,040790004973,040790004973
04100790000NB,50.35,51.61,040790005035,040790005035
04100790000NB,51.61,52.61,040790005161,040790005161
04100790000NB,52.61,53.27,040790005261,040790005261
04100790000NB,53.27,54.18,040790005327,040790005327
04100790000NB,54.18,57.51,040790005418,040790005418
04100790000NB,57.51,59,040790005751,040790005751
04100790000NB,59,61.47,040790005900,040790005900
04100790000NB,61.47,62.04,040790006147,040790006147
04100790000NB,62.04,63.46,040790006204,040790006204
04100790000NB,63.46,64.83,040790006346,040790006346
04100790000NB,64.83,67.52,040790006483,040790006483
04100790000NB,67.52,69.32,040790006752,040790006752
04100790000NB,69.32,70.83,040790006932,040790006932
04100790000NB,70.83,78.41,040790007083,040790007083
04100790000NB,78.41,79.08,040790007841,040790007841
04100790000NB,79.08,83.15,040790007908,040790007908
2640001000000,0,0.44,260010000000,260010000000
2640001000000,0.49,0.6,260010000049,260010000049
2640001000000,0.6,1.209,260010000060,260010000060
5430068000000,0,0.35,54300680000,54300680000
5430068000000,17.19,18.29,540680001719,540680001719
1740019020000,0.23,0.65,170190200023,170190200023
01200330000EB,0,1.87,010330000000,010330000000
06200520000EB,0.01,0.33,060520000001,060520000001
06200520000EB,0.33,0.45,060520000033,060520000033
06200520000EB,0.75,1.01,060520000075,060520000075
2730062000000,19.72,20.33,270620001972,270620001972
2730062000000,20.33,20.53,270620002033,270620002033
2730062000000,20.55,21.94,270620002055,270620002055
2840024000000,0,0.3,280240000000,280240000000
2840024000000,0.3,2.789,280240000300,280240000300
4040031000000,0,0.3,400310000000,400310000000
3140019080000,0,0.23,310190800000,310190800000
4040046000000,0,2.29,400460000000,400460000000
4040046000000,2.55,3.42,400460000255,400460000255
2071020001900,0.06,0.46,200102000006,200102000006
3140069050000,0,1.77,310690500000,310690500000
3140069050000,1.77,2.02,310690500177,310690500177
3140069050000,2.02,2.1,310690500202,310690500202
44100790000NB,21.28,25.79,440790002128,440790002128
44100790000NB,25.79,33.99,440790002579,440790002579
44100790000NB,33.99,36,440790003399,440790003399
5240003010000,0,0.009,520030100000,520030100000
3540007000000,0,0.44,350070000000,350070000000
5040007000000,17.84,18.87,500070001784,500070001784
5040007000000,19.35,19.76,500070001935,500070001935
3578275001900,0,0.26,350827500000,350827500000
5030152000000,29.86,30.39,501520002986,501520002986
5030152000000,40.4,43.98,501520004040,501520004040
5030152000000,43.98,44.59,501520004398,501520004398
1740707000000,0,0.57,177070000000,177070000000
1740707000000,0.57,0.907,177070000057,177070000057
3540013000000,0,0.99,350130000000,350130000000
4140041210000,0,1.63,410412100000,410412100000
2340119900000,0,0.5,231199000000,231199000000
25100790000NB,129.22,129.52,250790012922,250790012922
25100790000NB,129.52,130.48,250790012952,250790012952
25100790000NB,130.53,133.37,250790013053,250790013053
25100790000NB,133.37,134.97,250790013337,250790013337
25100790000NB,134.97,135.66,250790013497,250790013497
25100790000NB,135.66,136.64,250790013566,250790013566
25100790000NB,136.64,139.1,250790013664,250790013664
25100790000NB,139.1,139.82,250790013910,250790013910
25100790000NB,139.82,140.352,250790013982,250790013982
4170014001900,0.12,0.29,410001400120,410001400120
4130061000000,2.604,3.29,410610002604,410610002604
5230002000000,4.21,4.442,520020000421,520020000421
5230002000000,5.29,5.69,520020000529,520020000529
5230002000000,5.69,6.08,520020000569,520020000569
5230002000000,6.08,6.5,520020000608,520020000608
5230002000000,6.95,7.09,520020000695,520020000695
5230002000000,7.29,7.84,520020000729,520020000729
5230002000000,8.35,8.6,520020000835,520020000835
5230002000000,8.6,9.24,520020000860,520020000860
5230002000000,11.75,12.12,520020011750,520020011750
1771759001900,0,0.19,170175900000,170175900000
0540007000000,1.29,2.449,050070000129,050070000129
4940016000000,8.09,8.32,490160000809,490160000809
4940016000000,9.05,9.51,490160000904,490160000904
4640119300000,0,0.6,461193000000,461193000000
0830036000000,2.48,4.2,080360000248,080360000248
0640039000000,2.08,2.62,060390000208,060390000208
4940020310000,0,0.22,490203100000,490203100000
0240005000000,5.9,7.94,020050000590,020050000590
38202500000NB,0,5,382500000000,382500000000
38202500000NB,5.01,7,382500000501,382500000501
4040050000000,13.38,14.06,400500001338,400500001338
24200520000EB,0,1.09,240520000000,240520000000
24200520000EB,2.54,3.72,240520000254,240520000254
24200520000EB,5.19,6.4,240520000519,240520000519
24200520000EB,6.4,7.91,240520000640,240520000640
24200520000EB,9.59,12.82,240520000959,240520000959
24200520000EB,24.59,26.77,240520002459,240520002459
1040015000000,0,1.58,100150000000,100150000000
4170052001900,0.31,0.57,410005200031,410005200031
4170052001900,0.85,0.95,410005200085,410005200085
1040019430000,0.09,0.34,100194300009,100194300009
1740024060000,0.29,0.6,170240600029,170240600029
2030025000000,2.46,2.68,200250000246,200250000246
2030025000000,3.89,5.11,200250000389,200250000389
2030025000000,9.42,10.42,200250000942,200250000942
2030062000000,0.87,1.66,200620000087,200620000087
2030062000000,7.93,8.26,200620000793,200620000793
2040009030000,0.97,2.86,200090300969,200090300969
